Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Net migration,SM.POP.NETM,Lebanon,LBN,-27507
Net migration,SM.POP.NETM,Lesotho,LSO,-6023
Net migration,SM.POP.NETM,Liberia,LBR,-5003
Net migration,SM.POP.NETM,Libya,LBY,-2001
Net migration,SM.POP.NETM,Liechtenstein,LIE,212
Net migration,SM.POP.NETM,Lithuania,LTU,72100
Net migration,SM.POP.NETM,Luxembourg,LUX,13194
"Net migration,SM.POP.NETM,""Macao SAR, China"",MAC,8748"
Net migration,SM.POP.NETM,Madagascar,MDG,-1487
Net migration,SM.POP.NETM,Malawi,MWI,-5231
Net migration,SM.POP.NETM,Malaysia,MYS,188154
Net migration,SM.POP.NETM,Maldives,MDV,-2674
Net migration,SM.POP.NETM,Mali,MLI,-39951
Net migration,SM.POP.NETM,Malta,MLT,2480
Net migration,SM.POP.NETM,Marshall Islands,MHL,-1829
Net migration,SM.POP.NETM,Mauritania,MRT,2999
Net migration,SM.POP.NETM,Mauritius,MUS,-2824
Net migration,SM.POP.NETM,Mexico,MEX,-108438
"Net migration,SM.POP.NETM,""Micronesia, Fed. Sts."",FSM,-1159"
Net migration,SM.POP.NETM,Moldova,MDA,89154
Net migration,SM.POP.NETM,Monaco,MCO,995
Net migration,SM.POP.NETM,Mongolia,MNG,0
Net migration,SM.POP.NETM,Montenegro,MNE,26332
Net migration,SM.POP.NETM,Morocco,MAR,-38594
Net migration,SM.POP.NETM,Mozambique,MOZ,-34936
Net migration,SM.POP.NETM,Myanmar,MMR,-34988
Net migration,SM.POP.NETM,Namibia,NAM,22212
Net migration,SM.POP.NETM,Nauru,NRU,-144
Net migration,SM.POP.NETM,Nepal,NPL,-379321
Net migration,SM.POP.NETM,Netherlands,NLD,224472
Net migration,SM.POP.NETM,New Caledonia,NCL,485
Net migration,SM.POP.NETM,New Zealand,NZL,21404
Net migration,SM.POP.NETM,Nicaragua,NIC,-7996
Net migration,SM.POP.NETM,Niger,NER,995
Net migration,SM.POP.NETM,Nigeria,NGA,-51680
Net migration,SM.POP.NETM,North Macedonia,MKD,-5296
Net migration,SM.POP.NETM,Northern Mariana Islands,MNP,-1348
Net migration,SM.POP.NETM,Norway,NOR,58040
Net migration,SM.POP.NETM,Oman,OMN,339063
Net migration,SM.POP.NETM,Pakistan,PAK,-1322625
Net migration,SM.POP.NETM,Palau,PLW,-20
Net migration,SM.POP.NETM,Panama,PAN,7967
Net migration,SM.POP.NETM,Papua New Guinea,PNG,-787
Net migration,SM.POP.NETM,Paraguay,PRY,-12500
Net migration,SM.POP.NETM,Peru,PER,33982
Net migration,SM.POP.NETM,Philippines,PHL,-221754
Net migration,SM.POP.NETM,Poland,POL,967744
Net migration,SM.POP.NETM,Portugal,PRT,68696
Net migration,SM.POP.NETM,Puerto Rico (US),PRI,16704
Net migration,SM.POP.NETM,Qatar,QAT,80004
Net migration,SM.POP.NETM,Romania,ROU,89076
Net migration,SM.POP.NETM,Russian Federation,RUS,765629
Net migration,SM.POP.NETM,Rwanda,RWA,-9001
Net migration,SM.POP.NETM,Samoa,WSM,-2837
Net migration,SM.POP.NETM,San Marino,SMR,-403
Net migration,SM.POP.NETM,Sao Tome and Principe,STP,-592
Net migration,SM.POP.NETM,Saudi Arabia,SAU,977072
Net migration,SM.POP.NETM,Senegal,SEN,16425
Net migration,SM.POP.NETM,Serbia,SRB,40118
Net migration,SM.POP.NETM,Seychelles,SYC,1788
Net migration,SM.POP.NETM,Sierra Leone,SLE,-4000
Net migration,SM.POP.NETM,Singapore,SGP,214842
Net migration,SM.POP.NETM,Sint Maarten (Dutch part),SXM,564
Net migration,SM.POP.NETM,Slovak Republic,SVK,92314
Net migration,SM.POP.NETM,Slovenia,SVN,9014
Net migration,SM.POP.NETM,Solomon Islands,SLB,1567
"Net migration,SM.POP.NETM,""Somalia, Fed. Rep."",SOM,-92434"
Net migration,SM.POP.NETM,South Africa,ZAF,233284
Net migration,SM.POP.NETM,South Sudan,SSD,40259
Net migration,SM.POP.NETM,Spain,ESP,299779
Net migration,SM.POP.NETM,Sri Lanka,LKA,-27435
Net migration,SM.POP.NETM,St. Kitts and Nevis,KNA,0
Net migration,SM.POP.NETM,St. Lucia,LCA,0
Net migration,SM.POP.NETM,St. Martin (French part),MAF,-1475
Net migration,SM.POP.NETM,St. Vincent and the Grenadines,VCT,-826
