Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Dominican Republic,DOM,22986.95808105
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Ecuador,ECU,14186.6388544625
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Egypt, Arab Rep."",EGY,16360.3907750364"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,El Salvador,SLV,11085.6178074688
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Equatorial Guinea,GNQ,16932.7706827155
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Eritrea,ERI,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Estonia,EST,43128.6327713627
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Eswatini,SWZ,9927.60567008139
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Ethiopia,ETH,2655.59276743729
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Faroe Islands,FRO,70256.7191950519
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Fiji,FJI,12118.3182710082
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Finland,FIN,57068.3056478074
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,France,FRA,53673.8137406422
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,French Polynesia,PYF,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Gabon,GAB,18662.0497970621
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Gambia, The"",GMB,2863.18049829859"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Georgia,GEO,20966.5280391134
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Germany,DEU,63676.087821808
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Ghana,GHA,6728.45414012286
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Gibraltar,GIB,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Greece,GRC,35831.3441781205
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Greenland,GRL,70681.2253902158
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Grenada,GRD,16376.4273099594
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Guam,GUM,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Guatemala,GTM,12147.9309684074
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Guinea,GIN,3792.01068836277
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Guinea-Bissau,GNB,2603.24022588591
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Guyana,GUY,37068.1993827588
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Haiti,HTI,3057.42840826502
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Honduras,HND,6352.58710177732
