Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Cyprus,CYP,18.707
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Czechia,CZE,6.72
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Denmark,DNK,10.533
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Djibouti,DJI,76.306
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Dominica,DMA,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Dominican Republic,DOM,12.852
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Ecuador,ECU,8.403
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Egypt, Arab Rep."",EGY,19.058"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,El Salvador,SLV,7.48
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Equatorial Guinea,GNQ,15.821
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Eritrea,ERI,9.647
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Estonia,EST,18.392
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Eswatini,SWZ,58.33
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Ethiopia,ETH,5.412
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Faroe Islands,FRO,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Fiji,FJI,15.778
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Finland,FIN,14.138
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,France,FRA,17.851
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,French Polynesia,PYF,37.08
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Gabon,GAB,36.548
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Gambia, The"",GMB,10.167"
