Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
"Population, total,SP.POP.TOTL,""Korea, Rep."",KOR,51672569"
Population, total,SP.POP.TOTL,Kosovo,XKX,1768096
Population, total,SP.POP.TOTL,Kuwait,KWT,4589643
Population, total,SP.POP.TOTL,Kyrgyz Republic,KGZ,6975220
Population, total,SP.POP.TOTL,Lao PDR,LAO,7559007
Population, total,SP.POP.TOTL,Latvia,LVA,1879383
Population, total,SP.POP.TOTL,Lebanon,LBN,5744489
Population, total,SP.POP.TOTL,Lesotho,LSO,2286110
Population, total,SP.POP.TOTL,Liberia,LBR,5373294
Population, total,SP.POP.TOTL,Libya,LBY,7223805
Population, total,SP.POP.TOTL,Liechtenstein,LIE,39493
Population, total,SP.POP.TOTL,Lithuania,LTU,2831639
Population, total,SP.POP.TOTL,Luxembourg,LUX,653103
"Population, total,SP.POP.TOTL,""Macao SAR, China"",MAC,677300"
Population, total,SP.POP.TOTL,Madagascar,MDG,30437261
Population, total,SP.POP.TOTL,Malawi,MWI,20568728
Population, total,SP.POP.TOTL,Malaysia,MYS,34695493
Population, total,SP.POP.TOTL,Maldives,MDV,524106
Population, total,SP.POP.TOTL,Mali,MLI,23072640
Population, total,SP.POP.TOTL,Malta,MLT,531113
Population, total,SP.POP.TOTL,Marshall Islands,MHL,40077
Population, total,SP.POP.TOTL,Mauritania,MRT,4875637
Population, total,SP.POP.TOTL,Mauritius,MUS,1262523
Population, total,SP.POP.TOTL,Mexico,MEX,128613117
"Population, total,SP.POP.TOTL,""Micronesia, Fed. Sts."",FSM,112114"
Population, total,SP.POP.TOTL,Moldova,MDA,2528654
Population, total,SP.POP.TOTL,Monaco,MCO,38931
Population, total,SP.POP.TOTL,Mongolia,MNG,3433748
Population, total,SP.POP.TOTL,Montenegro,MNE,623591
Population, total,SP.POP.TOTL,Morocco,MAR,37329064
Population, total,SP.POP.TOTL,Mozambique,MOZ,32656246
Population, total,SP.POP.TOTL,Myanmar,MMR,53756787
Population, total,SP.POP.TOTL,Namibia,NAM,2889662
Population, total,SP.POP.TOTL,Nauru,NRU,11801
Population, total,SP.POP.TOTL,Nepal,NPL,29715436
Population, total,SP.POP.TOTL,Netherlands,NLD,17700982
Population, total,SP.POP.TOTL,New Caledonia,NCL,287123
Population, total,SP.POP.TOTL,New Zealand,NZL,5081700
Population, total,SP.POP.TOTL,Nicaragua,NIC,6730654
Population, total,SP.POP.TOTL,Niger,NER,25311973
Population, total,SP.POP.TOTL,Nigeria,NGA,223150896
Population, total,SP.POP.TOTL,North Macedonia,MKD,1831712
Population, total,SP.POP.TOTL,Northern Mariana Islands,MNP,46078
Population, total,SP.POP.TOTL,Norway,NOR,5457127
Population, total,SP.POP.TOTL,Oman,OMN,4730226
Population, total,SP.POP.TOTL,Pakistan,PAK,243700667
Population, total,SP.POP.TOTL,Palau,PLW,17759
Population, total,SP.POP.TOTL,Panama,PAN,4400773
Population, total,SP.POP.TOTL,Papua New Guinea,PNG,10203169
Population, total,SP.POP.TOTL,Paraguay,PRY,6760464
Population, total,SP.POP.TOTL,Peru,PER,33475438
Population, total,SP.POP.TOTL,Philippines,PHL,113964338
Population, total,SP.POP.TOTL,Poland,POL,36821749
Population, total,SP.POP.TOTL,Portugal,PRT,10434332
Population, total,SP.POP.TOTL,Puerto Rico (US),PRI,3220137
Population, total,SP.POP.TOTL,Qatar,QAT,2657333
Population, total,SP.POP.TOTL,Romania,ROU,19048502
Population, total,SP.POP.TOTL,Russian Federation,RUS,144236933
Population, total,SP.POP.TOTL,Rwanda,RWA,13651030
Population, total,SP.POP.TOTL,Samoa,WSM,215261
Population, total,SP.POP.TOTL,San Marino,SMR,33755
Population, total,SP.POP.TOTL,Sao Tome and Principe,STP,226305
Population, total,SP.POP.TOTL,Saudi Arabia,SAU,32175224
Population, total,SP.POP.TOTL,Senegal,SEN,17651103
Population, total,SP.POP.TOTL,Serbia,SRB,6664449
Population, total,SP.POP.TOTL,Seychelles,SYC,119878
Population, total,SP.POP.TOTL,Sierra Leone,SLE,8276807
Population, total,SP.POP.TOTL,Singapore,SGP,5637022
Population, total,SP.POP.TOTL,Sint Maarten (Dutch part),SXM,42139
Population, total,SP.POP.TOTL,Slovak Republic,SVK,5431752
Population, total,SP.POP.TOTL,Slovenia,SVN,2112076
Population, total,SP.POP.TOTL,Solomon Islands,SLB,781066
"Population, total,SP.POP.TOTL,""Somalia, Fed. Rep."",SOM,17801897"
Population, total,SP.POP.TOTL,South Africa,ZAF,62378410
Population, total,SP.POP.TOTL,South Sudan,SSD,11021177
Population, total,SP.POP.TOTL,Spain,ESP,47786102
Population, total,SP.POP.TOTL,Sri Lanka,LKA,22181000
Population, total,SP.POP.TOTL,St. Kitts and Nevis,KNA,46709
Population, total,SP.POP.TOTL,St. Lucia,LCA,178781
Population, total,SP.POP.TOTL,St. Martin (French part),MAF,28870
Population, total,SP.POP.TOTL,St. Vincent and the Grenadines,VCT,102046
Population, total,SP.POP.TOTL,Sudan,SDN,49383346
Population, total,SP.POP.TOTL,Suriname,SUR,623164
Population, total,SP.POP.TOTL,Sweden,SWE,10486941
Population, total,SP.POP.TOTL,Switzerland,CHE,8777088
Population, total,SP.POP.TOTL,Syrian Arab Republic,SYR,22462173
Population, total,SP.POP.TOTL,Tajikistan,TJK,10182222
Population, total,SP.POP.TOTL,Tanzania,TZA,64711821
Population, total,SP.POP.TOTL,Thailand,THA,71735329
Population, total,SP.POP.TOTL,Timor-Leste,TLS,1369295
Population, total,SP.POP.TOTL,Togo,TGO,9089738
Population, total,SP.POP.TOTL,Tonga,TON,105042
Population, total,SP.POP.TOTL,Trinidad and Tobago,TTO,1365805
Population, total,SP.POP.TOTL,Tunisia,TUN,12119334
Population, total,SP.POP.TOTL,Turkiye,TUR,84979913
Population, total,SP.POP.TOTL,Turkmenistan,TKM,7230193
Population, total,SP.POP.TOTL,Turks and Caicos Islands,TCA,45847
Population, total,SP.POP.TOTL,Tuvalu,TUV,9992
Population, total,SP.POP.TOTL,Uganda,UGA,47312719
Population, total,SP.POP.TOTL,Ukraine,UKR,41048766
Population, total,SP.POP.TOTL,United Arab Emirates,ARE,10074977
Population, total,SP.POP.TOTL,United Kingdom,GBR,67604000
Population, total,SP.POP.TOTL,United States,USA,334017321
Population, total,SP.POP.TOTL,Uruguay,URY,3390913
Population, total,SP.POP.TOTL,Uzbekistan,UZB,34938955
Population, total,SP.POP.TOTL,Vanuatu,VUT,313046
"Population, total,SP.POP.TOTL,""Venezuela, RB"",VEN,28213017"
Population, total,SP.POP.TOTL,Viet Nam,VNM,99680655
Population, total,SP.POP.TOTL,Virgin Islands (U.S.),VIR,105413
Population, total,SP.POP.TOTL,West Bank and Gaza,PSE,5043612
"Population, total,SP.POP.TOTL,""Yemen, Rep."",YEM,38222876"
Population, total,SP.POP.TOTL,Zambia,ZMB,20152938
Population, total,SP.POP.TOTL,Zimbabwe,ZWE,16069056
